ID,ID_marked,Source,City,Country,Geo_macro,Construction period,Function  Classification,Typology,Residential building type,Primary Code,Structural_type,Hybrid Structure,Structure,Number of floors,Gross floor area (m2),Net floor area (m2),Aluminium,Cement,Concrete,Copper,Glass,Steel,Wood,Brick,Note_1,Note_2
2447,G-356,No data No data,,Denmark,Northern Europe,2019,NR,NR-OH,Office,C,C,0,massive concrete,,4084.0,,,32.303623898139,211.517091087169,,,11.9954652301665,16.1912340842311,,"Restored by direct row copy from data/sources/sources/4. Processed_G.xlsx (Processed sheet), matched on ID_marked; this sheet already carries the final 28-column schema and matched 0 mismatches across all overlapping fields for the 49 already-retained G records. Geo_macro is not in that sheet and was derived via the same country lookup used for B/N/R.",
2448,G-357,No data No data,,Denmark,Northern Europe,2020,NR,NR-H,Hospital and Health,C,C,0,massive concrete,4,7867.0,,,153.487733570611,970.264014236684,,,15.309012329986,,53.5483665946358,,
2449,G-358,No data No data,,Denmark,Northern Europe,2017,NR,NR-OL,Office,C,C,0,massive concrete,7,12856.0,,,11.2787803360298,1638.09411947728,,,29.3567205973864,,,,
2450,G-359,No data No data,,Denmark,Northern Europe,2020,R,R-MFH,Multi-family house,C,C,0,massive concrete,,2851.0,,,,263.584272185198,,,,39.5856147176429,,,
2451,G-360,No data No data,,Denmark,Northern Europe,2020,R,R-MFH,Multi-family house,C,C,0,massive concrete,7,4246.0,,,121.518134715025,1095.66038624587,,,33.2637776731041,,90.4069712670749,,
2452,G-361,No data No data,,Denmark,Northern Europe,2020,R,R-MFH,Multi-family house,C,C,0,massive concrete,6,3700.0,,,51.2867567567567,1680.87756756756,,,83.4494594594594,,90.0545945945945,,
2453,G-362,No data No data,,Denmark,Northern Europe,2020,NR,NR-OL,Office,C,C,0,massive concrete,6,25067.0,,,59.8434196353771,1931.97578489647,,16.1923245701519,112.753859656121,,,,
2454,G-363,No data No data,,Denmark,Northern Europe,2020,R,R-MFH,Multi-family house,C,C,0,massive concrete,6,12520.0,,,60.0341054313099,1646.18035143769,,,79.5953674121405,,72.6825878594249,,
2455,G-395,No data No data,,Denmark,Northern Europe,2019,NR,NR-E,School and Daycare,C,C,0,massive concrete,1,850.0,,,,290.801176470588,,,11.3858823529411,,,,
2456,G-443,No data No data,,Finland,Northern Europe,2021,R,R-MFH,Multi-family house,C,C,0,frame concrete,6,2930.0,,,26.2426621160409,1572.569283276446,,,31.8392491467576,,28.7017064846416,,
2457,G-444,No data No data,,Finland,Northern Europe,2021,R,R-SFH,Single family house,C,C,0,massive concrete,1,242.0,,,,951.239669421487,,,,53.7520661157024,,,
2458,G-445,No data No data,,Finland,Northern Europe,2021,R,R-SFH,Single family house,W,W,0,frame wood,1,230.0,,,,169.91304347826,,,,102.004347826086,,,
2459,G-446,No data No data,,Finland,Northern Europe,2021,R,R-SFH,Single family house,W,W,0,frame wood,1,195.0,,,,133.384615384615,,,,155.866666666666,,,
2460,G-451,No data No data,,Finland,Northern Europe,2021,R,R-SFH,Semi-detached,W,W,0,frame wood,1,169.0,,,,224.644970414201,,,,95.7218934911242,125.207100591715,,
2461,G-453,No data No data,,Finland,Northern Europe,2021,R,R-SFH,Single family house,S,S,0,frame steel,1,168.0,,,25.3571428571428,42.3809523809523,,,,86.7559523809523,,,
