ID_marked,original_case_study_title,original_source_citation
R-95,,"Nemry & Uihlein, 2008"
R-96,,"Nemry & Uihlein, 2008"
R-97,,"Nemry & Uihlein, 2008"
R-98,,"Nemry & Uihlein, 2008"
R-99,,"Nemry & Uihlein, 2008"
R-100,,"Nemry & Uihlein, 2008"
R-101,,"Nemry & Uihlein, 2008"
R-102,,"Nemry & Uihlein, 2008"
R-103,,"Nemry & Uihlein, 2008"
R-104,,"Nemry & Uihlein, 2008"
R-105,,"Nemry & Uihlein, 2008"
R-106,,"Nemry & Uihlein, 2008"
R-107,Life cycle assessment: A case study of a dwelling home in Scotland,"Asif, M. Ã., Muneer, T., & Kelley, R. (2005). Life cycle assessment : A case study of a dwelling home in Scotland. Building and Environment, 42, 1391–1394"
R-108,Towards a comprehensive energy assessment of residential buildings,"Stephan, A. (2013). Towards a comprehensive energy assessment of residential buildings. The University of Melbourne, Australia. Retrieved from www.msd.unimelb.edu.au"
R-109,,"Stephan, 2013"
R-110,﻿Environmental impacts of the UK residential sector: Life cycle assessment of houses,"Cuéllar-Franca, R. M., & Azapagic, A. (2012). Environmental impacts of the UK residential sector: Life cycle assessment of houses. Building and Environment"
R-111,,"Cuéllar-Franca & Azapagic, 2012"
R-112,,"Cuéllar-Franca & Azapagic, 2012"
R-113,Relative importance of electricity sources and construction practices in residential buildings: A Swiss-US comparison of energy related life-cycle impacts,"Mosteiro-Romero, M., Krogmann, U., Wallbaum, H., Ostermeyer, Y., Senick, J. S., & Andrews, C. J. (2014). Relative importance of electricity sources and construction practices in residential buildings: A Swiss-US comparison of energy related life-cycle impacts. Energy and Buildings. https://doi.org/10.1016/j.enbuild.2013.09.046"
R-114,Towards a more sustainable building stock: Optimizing a flemish dwelling using a life cycle approach,"Buyle, M., Audenaert, A., Braet, J., & Debacker, W. (2015). Towards a More Sustainable Building Stock: Optimizing a Flemish Dwelling Using a Life Cycle Approach. Buildings. https://doi.org/10.3390/buildings5020424"
R-115,,"Gontia, Nägeli, Rosado, Kalmykova, & Österbring, 2018"
R-116,,"Gontia, Nägeli, Rosado, Kalmykova, & Österbring, 2018"
R-117,,"Gontia, Nägeli, Rosado, Kalmykova, & Österbring, 2018"
R-118,,"Gontia, Nägeli, Rosado, Kalmykova, & Österbring, 2018"
R-119,,"Gontia, Nägeli, Rosado, Kalmykova, & Österbring, 2018"
R-120,,"Gontia, Nägeli, Rosado, Kalmykova, & Österbring, 2018"
R-121,,"Gontia, Nägeli, Rosado, Kalmykova, & Österbring, 2018"
R-122,,"Gontia, Nägeli, Rosado, Kalmykova, & Österbring, 2018"
R-123,,"Gontia, Nägeli, Rosado, Kalmykova, & Österbring, 2018"
R-124,,"Gontia, Nägeli, Rosado, Kalmykova, & Österbring, 2018"
R-125,,"Gontia, Nägeli, Rosado, Kalmykova, & Österbring, 2018"
R-126,,"Gontia, Nägeli, Rosado, Kalmykova, & Österbring, 2018"
R-127,,"Gontia, Nägeli, Rosado, Kalmykova, & Österbring, 2018"
R-128,,"Gontia, Nägeli, Rosado, Kalmykova, & Österbring, 2018"
R-129,,"Gontia, Nägeli, Rosado, Kalmykova, & Österbring, 2018"
R-130,,"Gontia, Nägeli, Rosado, Kalmykova, & Österbring, 2018"
R-131,,"Gontia, Nägeli, Rosado, Kalmykova, & Österbring, 2018"
R-132,,"Gontia, Nägeli, Rosado, Kalmykova, & Österbring, 2018"
R-133,,"Gontia, Nägeli, Rosado, Kalmykova, & Österbring, 2018"
R-134,,"Gontia, Nägeli, Rosado, Kalmykova, & Österbring, 2018"
R-135,,"Gontia, Nägeli, Rosado, Kalmykova, & Österbring, 2018"
R-136,,"Gontia, Nägeli, Rosado, Kalmykova, & Österbring, 2018"
R-137,,"Gontia, Nägeli, Rosado, Kalmykova, & Österbring, 2018"
R-138,,"Gontia, Nägeli, Rosado, Kalmykova, & Österbring, 2018"
R-139,,"Gontia, Nägeli, Rosado, Kalmykova, & Österbring, 2018"
R-140,,"Gontia, Nägeli, Rosado, Kalmykova, & Österbring, 2018"
R-141,,"Gontia, Nägeli, Rosado, Kalmykova, & Österbring, 2018"
R-142,,"Gontia, Nägeli, Rosado, Kalmykova, & Österbring, 2018"
R-143,,"Gontia, Nägeli, Rosado, Kalmykova, & Österbring, 2018"
R-144,,"Gontia, Nägeli, Rosado, Kalmykova, & Österbring, 2018"
R-145,,"Gontia, Nägeli, Rosado, Kalmykova, & Österbring, 2018"
R-146,,"Gontia, Nägeli, Rosado, Kalmykova, & Österbring, 2018"
R-147,﻿A spatial analysis of material stock accumulation and demolition waste potential of buildings: A case study of Padua,"Miatto, A., Schandl, H., Forlin, L., Ronzani, F., Borin, P., Giordano, A., & Tanikawa, H. (2019). A spatial analysis of material stock accumulation and demolition waste potential of buildings: A case study of Padua. Resources, Conservation and Recycling, 142(July 2018), 245–256. https://doi.org/10.1016/j.resconrec.2018.12.011"
R-148,,"Miatto et al., 2019"
R-149,,"Miatto et al., 2019"
R-150,,"Miatto et al., 2019"
R-151,,"Miatto et al., 2019"
R-152,,"Miatto et al., 2019"
